"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1200905290473885696","https://twitter.com/ogato_desuyo/status/1200905290473885696","@RiekoWaka21 精進しますw","2019-11-30 22:31 +0000","153.0","9.0","0.058823529411764705","0.0","1.0","2.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200903458154377216","https://twitter.com/ogato_desuyo/status/1200903458154377216","迷うなあ https://t.co/RcaDzCXgEN","2019-11-30 22:24 +0000","1166.0","4.0","0.003430531732418525","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200802990187134977","https://twitter.com/ogato_desuyo/status/1200802990187134977","後輩との久々の通話でひたすら性癖をぶつけるなどした","2019-11-30 15:45 +0000","912.0","19.0","0.020833333333333332","0.0","0.0","6.0","11.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200802653388689409","https://twitter.com/ogato_desuyo/status/1200802653388689409","@ichigonohito ホルモン以外に普通のお肉もありますよ〜！😉","2019-11-30 15:43 +0000","46.0","2.0","0.043478260869565216","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200800626701025281","https://twitter.com/ogato_desuyo/status/1200800626701025281","@ichigonohito 瓦町で美味しいホルモン屋さん見つけたっす！","2019-11-30 15:35 +0000","59.0","3.0","0.05084745762711865","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200800285221781506","https://twitter.com/ogato_desuyo/status/1200800285221781506","ささ美さん久々に見かけたけど相変わらずのインパクトだ https://t.co/u6N1MmsL3G","2019-11-30 15:34 +0000","1227.0","3.0","0.0024449877750611247","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200799792755965952","https://twitter.com/ogato_desuyo/status/1200799792755965952","@ichigonohito 今度行きますか！","2019-11-30 15:32 +0000","39.0","2.0","0.05128205128205128","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200793914116132864","https://twitter.com/ogato_desuyo/status/1200793914116132864","@masatenten1 ありがとうございます🙇","2019-11-30 15:09 +0000","53.0","1.0","0.018867924528301886","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200783979135156224","https://twitter.com/ogato_desuyo/status/1200783979135156224","食べるのに夢中で全然肉の写真撮ってなかった😭😭😭
交流会楽しかったしご飯美味しかったし最高の1日だった！ https://t.co/Su9oui0h3b","2019-11-30 14:29 +0000","1463.0","214.0","0.14627477785372522","0.0","1.0","16.0","7.0","3.0","0.0","15.0","0.0","0","0","0","0","0","172","172","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200782022488125445","https://twitter.com/ogato_desuyo/status/1200782022488125445","@godinvillage @EbetsuSunabaco ゆうたろーさんがいい仕事してくれました😆","2019-11-30 14:21 +0000","74.0","3.0","0.04054054054054054","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
